SortID,Order,Family,Species common name,Species scientific name,PhyloName,duplicate,Source,Nest materials raw,Anthropogenic,Number-Mat,BodyMass,str-none,str-scrape,str-platform,str-cup,str-dome,str-ex,loc-artificial,loc-ground-water,loc-cavity,loc-rock,loc-veg,RangeSize,IUCN-category-2020,IUCN-simplified,HFI,Biome-simplified,str-scrapenone,Plastic,WoS-Papers,BrainSize
5680,PASSERIFORMES,Tyrannidae,Great Kiskadee,Pitangus sulphuratus,Pitangus sulphuratus,0,HBW,"differently sized grasses, weed stems, straw, small twigs, mosses, lichen, string, rope, bits of plastic, rags, cotton, paper, other refuse, whole nests of smaller birds, long strands of vegetation",1,15,8.8,0,0,0,0,1,0,0,0,0,0,1,1451,LC,Least-concerned,18.96486285,tropical-forests,0,1,54,0.344552296
5681,PASSERIFORMES,Tyrannidae,Lesser Kiskadee,Philohydor lictor,Pitangus lictor,0,HBW,"rather coarse material, small twigs, grasses, finer materials, rootlets, leaves, grass",0,7,8.6,0,0,0,1,0,0,0,0,0,0,1,841,LC,Least-concerned,14.17933263,tropical-forests,0,0,0,NA
5682,PASSERIFORMES,Tyrannidae,Cattle Tyrant,Machetornis rixosa,Machetornis rixosa,0,HBW,grass,0,1,9.88,1,0,0,0,1,0,NA,NA,NA,NA,NA,634,LC,Least-concerned,24.22042212,grasslands,1,0,8,0.01
5683,PASSERIFORMES,Tyrannidae,Sulphury Flycatcher,Tyrannopsis sulphurea,Tyrannopsis sulphurea,0,HBW,sticks,0,1,8.19,NA,NA,NA,NA,NA,NA,0,0,0,0,1,586,LC,Least-concerned,9.393349942,tropical-forests,NA,0,1,NA
5683,PASSERIFORMES,Tyrannidae,Sulphury Flycatcher,Tyrannopsis sulphurea,Tyrannopsis sulphurea,1,NBO,sticks,0,1,8.19,NA,NA,NA,NA,NA,NA,0,0,0,0,1,586,LC,Least-concerned,9.393349942,tropical-forests,NA,0,NA,NA
5684,PASSERIFORMES,Tyrannidae,Boat-billed Flycatcher,Megarynchus pitangua,Megarynchus pitangua,0,HBW,"twigs, leaves, grass, dry vines, roots, rhizomes of epiphytes, other fibrous materials",0,7,11,0,0,0,1,0,0,0,0,0,0,1,1202,LC,Least-concerned,18.3184938,tropical-forests,0,0,0,0.180001875
5685,PASSERIFORMES,Tyrannidae,Golden-bellied Flycatcher,Myiodynastes hemichrysus,Myiodynastes hemichrysus,0,HBW,"fine rootlets, moss",0,2,8.2,0,0,0,1,0,0,0,0,1,1,0,9,LC,Least-concerned,28.87191866,tropical-forests,0,0,0,NA
5686,PASSERIFORMES,Tyrannidae,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,Myiodynastes chrysocephalus,0,HBW,moss,0,1,8.7,0,0,0,1,0,0,0,0,1,1,0,121,LC,Least-concerned,23.48808662,tropical-forests,0,0,1,NA
5687,PASSERIFORMES,Tyrannidae,Baird's Flycatcher,Myiodynastes bairdii,Myiodynastes bairdii,1,HBW,"twigs, fine plant stems and roots",0,2,9.2,0,0,0,1,0,0,1,0,0,0,0,18,LC,Least-concerned,18.86666146,tropical-forests,0,0,NA,NA
5687,PASSERIFORMES,Tyrannidae,Baird's Flycatcher,Myiodynastes bairdii,Myiodynastes bairdii,0,NBO,"twigs, fine plant stems, roots",0,3,9.2,0,0,0,1,0,0,1,0,0,0,0,18,LC,Least-concerned,18.86666146,tropical-forests,0,0,0,NA
